distancia_m,profundidad_mm,tipo_defecto,largo,ancho,latitud,longitud
10.893,0.635,Pitting,19,21,3.782118731,-71.45074959
18.986,0.762,Circumferential Grooving,17,37,3.782052405,-71.45078792
19.01,0.6985,Pitting,19,25,3.782052208,-71.45078804
19.087,0.8255,Pitting,14,25,3.782051577,-71.4507884
19.108,0.889,Pitting,26,34,3.782051405,-71.4507885
144.717,0.762,Pitting,11,15,3.780956222,-71.45123219
620.017,0.6985,Pitting,37,26,3.776847244,-71.4530202
620.689,0.6985,Pitting,39,23,3.77684128,-71.45302241
621.989,0.635,Pitting,22,30,3.776829741,-71.45302668
622.873,0.6985,General,31,44,3.776821894,-71.45302959
625.497,0.8255,Pitting,21,31,3.776798604,-71.45303821
629.142,1.2065,Pitting,21,30,3.776766251,-71.4530502
637.175,0.6985,Pitting,27,31,3.776694953,-71.45307662
637.368,0.6985,Axial Grooving,54,15,3.77669324,-71.45307725
637.501,0.635,Axial Grooving,52,15,3.776692059,-71.45307769
638.408,0.6985,General,45,46,3.776684009,-71.45308067
639.104,0.6985,Pitting,20,27,3.776677832,-71.45308296
640.067,0.635,Pitting,27,21,3.776669284,-71.45308613
640.298,1.4605,General,35,35,3.776667234,-71.45308689
640.318,0.762,General,30,42,3.776667056,-71.45308696
640.403,1.143,Pitting,43,24,3.776666302,-71.45308723
640.48,0.762,General,44,34,3.776665619,-71.45308749
640.653,1.0795,Pitting,21,27,3.776664083,-71.45308806
640.654,0.9525,General,54,37,3.776664074,-71.45308806
640.674,0.889,Pitting,18,18,3.776663897,-71.45308813
641.992,0.762,Pitting,28,15,3.776652199,-71.45309246
642.592,0.9525,Pitting,21,20,3.776646873,-71.45309443
642.87,0.6985,Pitting,13,17,3.776644406,-71.45309535
642.893,0.762,Axial Grooving,44,15,3.776644202,-71.45309542
643.108,0.762,General,32,51,3.776642293,-71.45309613
643.119,1.016,Pitting,17,15,3.776642196,-71.45309617
643.299,0.762,Pitting,12,15,3.776640598,-71.45309676
643.473,1.016,Pitting,14,18,3.776639054,-71.45309733
643.517,0.6985,Pitting,11,15,3.776638663,-71.45309748
643.548,1.143,Pitting,10,15,3.776638388,-71.45309758
643.574,0.9525,Pitting,20,15,3.776638157,-71.45309766
643.582,0.9525,Pitting,19,24,3.776638086,-71.45309769
643.608,1.27,Circumferential Grooving,14,30,3.776637855,-71.45309778
643.613,1.524,Pitting,14,15,3.776637811,-71.45309779
643.621,1.397,Pitting,10,17,3.77663774,-71.45309782
643.621,1.27,Pitting,11,15,3.77663774,-71.45309782
643.647,1.27,Pitting,10,15,3.776637509,-71.4530979
643.658,0.762,General,48,125,3.776637412,-71.45309794
643.662,1.4605,Circumferential Grooving,12,36,3.776637376,-71.45309795
643.675,0.9525,Pitting,13,15,3.776637261,-71.453098
643.7,0.9525,Pitting,18,17,3.776637039,-71.45309808
643.709,0.8255,Circumferential Slotting,8,24,3.776636959,-71.45309811
643.74,1.016,Pitting,22,27,3.776636684,-71.45309821
643.777,1.016,Pitting,14,15,3.776636355,-71.45309833
643.79,1.0795,Pitting,16,30,3.77663624,-71.45309837
643.824,0.8255,General,32,32,3.776635938,-71.45309849
643.846,1.3335,Pitting,18,20,3.776635743,-71.45309856
643.847,0.889,Pitting,13,20,3.776635734,-71.45309856
643.848,1.27,Pitting,14,25,3.776635725,-71.45309856
643.893,1.397,Pitting,21,21,3.776635326,-71.45309871
644.037,0.762,Pitting,14,23,3.776634048,-71.45309919
644.446,0.889,Pitting,29,19,3.776630418,-71.45310053
1532.783,0.6985,Pitting,12,15,3.779390512,-71.46051096
1665.147,0.889,Pitting,12,15,3.779635146,-71.46173973
2063.553,0.635,Pitting,13,15,3.780325935,-71.46544691
2358.683,0.8255,Pitting,13,15,3.780843301,-71.46819193
2449.86,0.762,Pitting,11,15,3.781006737,-71.46903619
2462.639,0.762,Pitting,12,15,3.781029673,-71.46915495
2755.089,0.6985,Pitting,44,28,3.781123586,-71.47188022
2766.99,1.0795,Pitting,47,25,3.781132252,-71.47199253
2767.943,0.8255,Pitting,29,30,3.781132946,-71.47200153
3135.974,0.9525,Pitting,11,15,3.781039916,-71.4754796
3165.48,0.8255,General,38,52,3.78102104,-71.47575821
3165.743,0.635,Pitting,10,15,3.781020942,-71.4757607
3165.749,1.0795,Axial Grooving,36,15,3.78102094,-71.47576075
3165.768,0.6985,Circumferential Grooving,15,45,3.781020933,-71.47576093
3165.794,0.635,Circumferential Grooving,15,43,3.781020924,-71.47576118
3165.8,1.397,Pitting,11,15,3.781020921,-71.47576124
3165.853,0.6985,Circumferential Slotting,8,15,3.781020902,-71.47576174
3165.877,1.524,General,33,49,3.781020893,-71.47576196
3165.877,2.032,Circumferential Grooving,20,88,3.781020893,-71.47576196
3166.08,0.889,Pitting,17,16,3.781020818,-71.47576388
3166.601,0.8255,Pitting,19,35,3.781020625,-71.47576881
3166.639,0.635,General,32,81,3.781020611,-71.47576917
3166.643,1.2065,Axial Grooving,34,16,3.78102061,-71.47576921
3166.646,0.8255,Circumferential Grooving,23,47,3.781020609,-71.47576924
3166.648,0.762,General,46,48,3.781020608,-71.47576926
3166.698,1.016,Pitting,10,15,3.781020589,-71.47576973
3166.739,0.889,Circumferential Grooving,14,29,3.781020574,-71.47577012
3167.313,1.2065,Pitting,25,20,3.781020362,-71.47577555
3167.464,1.016,Axial Grooving,42,16,3.781020306,-71.47577698
3167.489,1.9685,Pitting,16,30,3.781020297,-71.47577721
3168.425,1.397,General,50,40,3.781019951,-71.47578606
3410.187,0.6985,Pitting,12,15,3.781898161,-71.47784272
3436.179,0.635,Pitting,13,15,3.78202056,-71.47805614
3572.23,0.635,Pitting,13,16,3.782654715,-71.47917694
4438.158,0.635,Pitting,14,15,3.783180658,-71.486999
4725.121,0.6985,Pitting,11,15,3.783468056,-71.48969797
5633.279,0.6985,General,38,53,3.785709798,-71.49794626
5633.585,0.6985,Pitting,16,16,3.785710106,-71.49794914
5633.7,0.6985,Axial Grooving,47,19,3.785710222,-71.49795022
5633.772,0.889,Pitting,18,15,3.785710294,-71.4979509
5633.803,1.3335,General,51,40,3.785710325,-71.49795119
5633.827,1.0795,General,32,55,3.785710349,-71.49795141
5633.979,1.3335,General,38,70,3.785710502,-71.49795284
5634.157,0.762,Pitting,24,44,3.785710681,-71.49795452
5634.27,0.6985,Pitting,19,16,3.785710795,-71.49795558
5634.283,0.889,Pitting,22,32,3.785710808,-71.4979557
5634.355,0.889,Pitting,27,23,3.78571088,-71.49795638
5634.428,1.0795,General,41,51,3.785710954,-71.49795707
5634.57,0.635,General,36,35,3.785711097,-71.49795841
5634.586,0.8255,Pitting,26,22,3.785711113,-71.49795856
5634.681,0.6985,Axial Grooving,47,22,3.785711208,-71.49795945
5634.685,1.5875,General,41,36,3.785711212,-71.49795949
