distancia_inicio_m,distancia_fin_m,lat,lon,diametro,espesor,SMYS,tasa_corrosion_mm_ano
0.59,13.059,3.782203165,-71.45070079,460,6.35,42000,0.1
13.059,21.992,3.782100979,-71.45075985,460,6.35,42000,0.1
21.992,26.882,3.782027771,-71.45080216,460,6.35,42000,0.1
26.882,37.199,3.781987697,-71.45082532,460,6.35,42000,0.1
37.199,46.839,3.781903144,-71.45087418,460,6.35,42000,0.1
46.839,58.832,3.781824144,-71.45091984,460,6.35,42000,0.1
58.832,70.813,3.78172586,-71.45097665,460,6.35,42000,0.1
70.813,82.8,3.781625018,-71.4510279,460,6.35,42000,0.1
82.8,84.853,3.781517838,-71.45106489,460,6.35,42000,0.1
84.853,96.856,3.781499275,-71.45107063,460,6.35,42000,0.1
96.856,104.991,3.781390745,-71.45110424,460,6.35,42000,0.1
104.991,116.984,3.781317187,-71.45112701,460,6.35,42000,0.1
116.984,119.424,3.781208745,-71.45116057,460,6.35,42000,0.1
119.424,131.415,3.781186682,-71.4511674,460,6.35,42000,0.1
131.415,143.397,3.781077617,-71.45119878,460,6.35,42000,0.1
143.397,155.407,3.780968269,-71.45122888,460,6.35,42000,0.1
155.407,167.426,3.780858657,-71.45125902,460,6.35,42000,0.1
167.426,178.231,3.780749022,-71.45128939,460,6.35,42000,0.1
178.231,187.641,3.780650656,-71.45131739,460,6.35,42000,0.1
187.641,197.035,3.780565048,-71.45134198,460,6.35,42000,0.1
197.035,206.406,3.780479881,-71.45136753,460,6.35,42000,0.1
206.406,217.021,3.780400755,-71.45140673,460,6.35,42000,0.1
217.021,227.904,3.780313387,-71.45145635,460,6.35,42000,0.1
227.904,240.137,3.780224059,-71.45150765,460,6.35,42000,0.1
240.137,252.375,3.780123684,-71.45156538,460,6.35,42000,0.1
252.375,264.598,3.78002327,-71.45162313,460,6.35,42000,0.1
264.598,276.803,3.779922979,-71.45168081,460,6.35,42000,0.1
276.803,289.011,3.779822833,-71.4517384,460,6.35,42000,0.1
289.011,301.221,3.779722663,-71.45179601,460,6.35,42000,0.1
301.221,313.215,3.779622553,-71.45185376,460,6.35,42000,0.1
313.215,325.211,3.779524419,-71.45191084,460,6.35,42000,0.1
325.211,331.986,3.779426242,-71.45196789,460,6.35,42000,0.1
331.986,343.937,3.779370634,-71.45199983,460,6.35,42000,0.1
343.937,355.923,3.779272167,-71.45205551,460,6.35,42000,0.1
