distancia_inicio_m,distancia_fin_m,resistividad_suelo_ohm_cm
10,20,500
20,40,500
40,53.33333333,500
53.33333333,68.33333333,500
68.33333333,83.33333333,500
83.33333333,98.33333333,500
98.33333333,113.3333333,500
113.3333333,128.3333333,500
128.3333333,143.3333333,500
143.3333333,158.3333333,500
158.3333333,173.3333333,500
173.3333333,188.3333333,500
188.3333333,203.3333333,500
203.3333333,218.3333333,500
218.3333333,233.3333333,500
233.3333333,248.3333333,500
248.3333333,263.3333333,500
263.3333333,278.3333333,500
278.3333333,293.3333333,500
293.3333333,308.3333333,500
308.3333333,323.3333333,500
323.3333333,338.3333333,500
338.3333333,353.3333333,500
353.3333333,368.3333333,500
368.3333333,383.3333333,500
383.3333333,398.3333333,500
398.3333333,413.3333333,500
413.3333333,428.3333333,500
428.3333333,443.3333333,500
443.3333333,458.3333333,500
458.3333333,473.3333333,500
473.3333333,488.3333333,500
488.3333333,503.3333333,500
503.3333333,518.3333333,500
518.3333333,533.3333333,500
533.3333333,548.3333333,500
548.3333333,563.3333333,500
563.3333333,578.3333333,500
578.3333333,593.3333333,500
593.3333333,608.3333333,500
608.3333333,623.3333333,500
623.3333333,638.3333333,500
638.3333333,653.3333333,500
653.3333333,668.3333333,500
668.3333333,683.3333333,500
683.3333333,698.3333333,500
698.3333333,713.3333333,500
713.3333333,728.3333333,500
728.3333333,743.3333333,500
743.3333333,758.3333333,500
758.3333333,773.3333333,500
773.3333333,788.3333333,500
788.3333333,803.3333333,500
803.3333333,818.3333333,500
818.3333333,833.3333333,500
833.3333333,848.3333333,500
848.3333333,863.3333333,500
863.3333333,878.3333333,500
878.3333333,893.3333333,500
893.3333333,908.3333333,500
908.3333333,923.3333333,500
923.3333333,938.3333333,500
938.3333333,953.3333333,500
953.3333333,968.3333333,500
968.3333333,983.3333333,500
983.3333333,998.3333333,500
998.3333333,1013.333333,30000
1013.333333,1028.333333,30000
1028.333333,1043.333333,30000
1043.333333,1058.333333,30000
1058.333333,1073.333333,30000
1073.333333,1088.333333,30000
1088.333333,1103.333333,30000
1103.333333,1118.333333,30000
1118.333333,1133.333333,30000
1133.333333,1148.333333,30000
1148.333333,1163.333333,30000
1163.333333,1178.333333,30000
1178.333333,1193.333333,30000
1193.333333,1208.333333,30000
1208.333333,1223.333333,30000
1223.333333,1238.333333,30000
1238.333333,1253.333333,30000
1253.333333,1268.333333,30000
1268.333333,1283.333333,30000
1283.333333,1298.333333,30000
1298.333333,1313.333333,30000
1313.333333,1328.333333,30000
1328.333333,1343.333333,30000
1343.333333,1358.333333,30000
1358.333333,1373.333333,30000
1373.333333,1388.333333,30000
1388.333333,1403.333333,30000
1403.333333,1418.333333,30000
1418.333333,1433.333333,30000
1433.333333,1448.333333,30000
1448.333333,1463.333333,30000
1463.333333,1478.333333,30000
1478.333333,1493.333333,30000
1493.333333,1508.333333,30000
1508.333333,1523.333333,30000
1523.333333,1538.333333,30000
1538.333333,1553.333333,30000
1553.333333,1568.333333,30000
1568.333333,1583.333333,30000
1583.333333,1598.333333,30000
1598.333333,1613.333333,30000
1613.333333,1628.333333,30000
1628.333333,1643.333333,30000
1643.333333,1658.333333,30000
1658.333333,1673.333333,30000
1673.333333,1688.333333,30000
1688.333333,1703.333333,30000
1703.333333,1718.333333,30000
1718.333333,1733.333333,30000
1733.333333,1748.333333,30000
1748.333333,1763.333333,30000
1763.333333,1778.333333,30000
1778.333333,1793.333333,30000
1793.333333,1808.333333,30000
1808.333333,1823.333333,30000
1823.333333,1838.333333,30000
1838.333333,1853.333333,30000
1853.333333,1868.333333,30000
